Team,Final Score,adjust Points,auto Ownership Points,auto Points,auto Quest Ranking Point,auto Run Points,auto Scale Ownership Sec,auto Switch At Zero,auto Switch Ownership Sec,endgame Points,face The Boss Ranking Point,foul Count,foul Points,rp,tech Foul Count,teleop Ownership Points,teleop Points,teleop Scale Boost Sec,teleop Scale Force Sec,teleop Scale Ownership Sec,teleop Switch Boost Sec,teleop Switch Force Sec,teleop Switch Ownership Sec,total Points,vault Boost Played,vault Boost Total,vault Force Played,vault Force Total,vault Levitate Played,vault Levitate Total,vault Points
1369,100.269602306,0,2.7028142531,7.3300503991,0.0776042808,4.6272361459,0.3596683186,0.1114828664,0.9917388079,8.1536148979,0.0265784689,0.0688382536,12.6830213882,0.5044982818,0.1681743646,63.9380293858,80.2497640989,2.8561647107,0.4887458811,38.8873420923,1.2110529646,-0.8022589292,20.9834696182,100.269602306,0.6273027084,0.5848648602,0.0945326002,0.4267402464,0.467392025,0.6200188564,8.1581198151
1370,36.8870922007,0,2.9526443859,7.2105199765,0.1072294853,4.2578755906,-0.2314052844,0.2032898661,1.7077274773,8.2497436622,-0.0833004774,0.297724717,1.3992422907,-0.0762749723,0.3947643431,22.3329810301,28.2710909401,-1.2980792519,-0.9671130477,2.6969838671,-0.2849372143,-0.2251078308,21.2190136293,36.8870922007,-0.3705139818,-0.4801635999,-0.1912649012,-0.2473317767,0.0534254783,0.2651686261,-2.3116337523
1374,71.0190636374,0,0.4542236456,5.5858071318,0.074050488,5.1315834862,-0.4213401043,0.0492732391,0.6484519271,16.610979521,-0.0176311754,0.1355751716,-5.163895474,0.0157004409,0.4793612629,45.0015506836,70.5978848615,0.8898680702,0.4708360569,14.8477867006,-0.4591844951,0.729612625,29.723080408,71.0190636374,0.1840350899,0.1888639252,0.1224608343,0.3608750695,1.3931838709,1.2473319368,8.9853546569
1378,57.6743389764,0,-1.6382143049,1.7328362013,0.1066926547,3.3710505061,-0.0467319122,0.0285339099,-0.7723752402,5.5023655906,-0.0109505567,0.173251989,-0.6956829793,0.3149406188,-0.2231285314,44.2437064545,56.6230096227,2.4519534672,-1.4716027552,17.0300231222,0.750990169,0.4195464615,24.010739696,57.6743389764,0.6443576241,0.4749734177,-0.1839307884,-0.044466551,0.7735342679,0.9448806488,6.8769375776
1382,40.3735999124,0,2.3220681321,7.1798876306,0.1134357572,4.8578194985,0.0760838613,0.0704273688,1.0849502048,5.9262863519,0.0799893115,0.2060336943,2.333357057,0.3894924422,-0.1262590326,22.8766365123,30.8606533065,0.8296209925,-0.201781541,15.494225818,0.2201182688,2.1362655018,6.3326714331,40.3735999124,0.2709574468,0.2257309952,0.1155798232,0.0848686303,0.0987165226,0.100946463,2.0577304423
1388,132.9565199626,0,3.238174207,8.0483752415,0.427412885,4.8102010344,0.0306831096,0.4225771842,1.5884039939,19.2823949292,-0.028141776,0.6624077526,5.8483840384,1.1290297346,0.3759004644,80.2193126935,119.0605261751,-0.302545886,3.6402898863,14.2998241898,5.2091399812,1.7433585953,61.0128944085,132.9565199626,0.4983159303,1.3306590448,0.8735629418,1.288143217,1.4905268406,1.2929614488,19.5588185525
1389,75.0659418088,0,5.8872395926,8.6495384231,0.0418738267,2.7622988305,-0.0330936553,0.3137061844,2.9767134516,7.7721239537,0.0264346649,0.013800077,21.7861094564,0.2654619909,0.0754361942,34.0750219215,44.6224695051,0.1240330131,-1.2162285566,-1.4438786353,1.2312570997,0.959628469,34.163610444,75.0659418088,0.3652128274,0.2676839868,-0.1626627676,-0.0938950571,0.2667687723,0.3812757963,2.77532363
1391,117.8954096098,0,8.829588002,13.7653566775,0.3889788909,4.9357686755,0.6906903631,0.4205449502,3.7241036379,21.4138129163,0.066854606,0.5287778482,4.8032904175,0.9793683427,0.290696501,67.017641393,99.3266320007,0.2797441717,1.6156354678,32.8205458094,1.5331179557,0.4599520667,32.3842334561,117.8954096098,0.541480006,0.6342024835,0.366217628,0.3412480538,1.0716648942,1.203585001,10.8951776914
1398,45.5913352416,0,-0.7789884509,3.379900698,-0.1378937235,4.1588891489,0.2327112587,0.0001375518,-0.6222054841,1.2616764735,-0.0364756605,0.908952192,3.2352277967,0.0331056128,0.1714236297,40.8312455689,38.96962699,-1.3825289123,-0.2313854734,21.3254082663,-0.7032982477,-0.9335621531,21.5916644626,45.5913352416,-0.400860249,-0.5875976024,-0.1192907284,-0.2984558891,-0.3657402012,0.261394481,-3.1232950525
1403,83.1289109039,0,2.7933991564,7.5273870603,0.2386617813,4.7339879038,-0.0969648888,0.2446129998,1.4936644671,10.5292700303,-0.0499622181,0.3024376505,6.0440560876,0.3227395018,0.5003992477,48.4862638237,69.5542004422,1.5427124762,1.243401252,13.2194198983,0.9843814864,0.8298136269,32.7397499627,83.1289109039,0.7053963799,0.8504029185,0.3539943345,0.4254620737,0.8436181852,0.8318683254,10.5386665882
